Date,Open,High,Low,Close,Adj Close,Volume
2022-11-04,3766.979980,3796.340088,3708.840088,3770.550049,3770.550049,5400180000
2022-11-07,3780.709961,3813.949951,3764.699951,3806.800049,3806.800049,4341620000
2022-11-08,3817.020020,3859.399902,3786.280029,3828.110107,3828.110107,4607640000
2022-11-09,3810.939941,3818.199951,3744.219971,3748.570068,3748.570068,4645010000
2022-11-10,3859.889893,3958.330078,3859.889893,3956.370117,3956.370117,5781260000
2022-11-11,3963.719971,4001.479980,3944.820068,3992.929932,3992.929932,5593310000
2022-11-14,3977.969971,4008.969971,3956.399902,3957.250000,3957.250000,4561930000
2022-11-15,4006.409912,4028.840088,3953.169922,3991.729980,3991.729980,5015310000
2022-11-16,3976.820068,3983.090088,3954.340088,3958.790039,3958.790039,4165320000
2022-11-17,3919.260010,3954.330078,3906.540039,3946.560059,3946.560059,4051780000
2022-11-18,3966.389893,3979.889893,3935.979980,3965.340088,3965.340088,4037360000
2022-11-21,3956.229980,3962.000000,3933.340088,3949.939941,3949.939941,3850690000
2022-11-22,3965.510010,4005.879883,3956.879883,4003.580078,4003.580078,3887990000
2022-11-23,4000.300049,4033.780029,3998.659912,4027.260010,4027.260010,3279720000
2022-11-25,4023.340088,4034.020020,4020.760010,4026.120117,4026.120117,1706460000
2022-11-28,4005.360107,4012.270020,3955.770020,3963.939941,3963.939941,3615430000
2022-11-29,3964.189941,3976.770020,3937.649902,3957.629883,3957.629883,3546040000
2022-11-30,3957.179932,4080.110107,3938.580078,4080.110107,4080.110107,6579360000
2022-12-01,4087.139893,4100.509766,4050.870117,4076.570068,4076.570068,4527130000
2022-12-02,4040.169922,4080.479980,4026.629883,4071.699951,4071.699951,4012620000
2022-12-05,4052.020020,4052.449951,3984.489990,3998.840088,3998.840088,4280820000
2022-12-06,3996.629883,4001.510010,3918.389893,3941.260010,3941.260010,4368380000
2022-12-07,3933.280029,3957.570068,3922.679932,3933.919922,3933.919922,4118050000
2022-12-08,3947.790039,3974.189941,3935.830078,3963.510010,3963.510010,4006900000
2022-12-09,3954.169922,3977.020020,3933.040039,3934.379883,3934.379883,3888260000
2022-12-12,3939.290039,3990.709961,3935.300049,3990.560059,3990.560059,3904130000
2022-12-13,4069.379883,4100.959961,3993.030029,4019.649902,4019.649902,5079360000
2022-12-14,4015.540039,4053.760010,3965.649902,3995.320068,3995.320068,4472340000
2022-12-15,3958.370117,3958.370117,3879.449951,3895.750000,3895.750000,4493900000
2022-12-16,3890.909912,3890.909912,3827.909912,3852.360107,3852.360107,7493660000
2022-12-19,3853.790039,3854.860107,3800.040039,3817.659912,3817.659912,3969610000
2022-12-20,3810.469971,3838.239990,3795.620117,3821.620117,3821.620117,3985370000
2022-12-21,3839.489990,3889.820068,3839.489990,3878.439941,3878.439941,3775200000
2022-12-22,3853.260010,3853.260010,3764.489990,3822.389893,3822.389893,3956950000
2022-12-23,3815.110107,3845.800049,3797.010010,3844.820068,3844.820068,2819280000
2022-12-27,3843.340088,3846.649902,3813.219971,3829.250000,3829.250000,3030300000
2022-12-28,3829.560059,3848.320068,3780.780029,3783.219971,3783.219971,3083520000
2022-12-29,3805.449951,3858.189941,3805.449951,3849.280029,3849.280029,3003680000
2022-12-30,3829.060059,3839.850098,3800.340088,3839.500000,3839.500000,2979870000
2023-01-03,3853.290039,3878.459961,3794.330078,3824.139893,3824.139893,3959140000
2023-01-04,3840.360107,3873.159912,3815.770020,3852.969971,3852.969971,4414080000
2023-01-05,3839.739990,3839.739990,3802.419922,3808.100098,3808.100098,3893450000
2023-01-06,3823.370117,3906.189941,3809.560059,3895.080078,3895.080078,3923560000
2023-01-09,3910.820068,3950.570068,3890.419922,3892.090088,3892.090088,4311770000
2023-01-10,3888.570068,3919.830078,3877.290039,3919.250000,3919.250000,3851030000
2023-01-11,3932.350098,3970.070068,3928.540039,3969.610107,3969.610107,4303360000
2023-01-12,3977.570068,3997.760010,3937.560059,3983.169922,3983.169922,4440260000
2023-01-13,3960.600098,4003.949951,3947.669922,3999.090088,3999.090088,3939700000
2023-01-17,3999.280029,4015.389893,3984.570068,3990.969971,3990.969971,4235560000
2023-01-18,4002.250000,4014.159912,3926.590088,3928.860107,3928.860107,4298710000
2023-01-19,3911.840088,3922.939941,3885.540039,3898.850098,3898.850098,3991500000
2023-01-20,3909.040039,3972.959961,3897.860107,3972.610107,3972.610107,4013360000
2023-01-23,3978.139893,4039.310059,3971.639893,4019.810059,4019.810059,3945210000
2023-01-24,4001.739990,4023.919922,3989.790039,4016.949951,4016.949951,3320430000
2023-01-25,3982.709961,4019.550049,3949.060059,4016.219971,4016.219971,3724020000
2023-01-26,4036.080078,4061.570068,4013.290039,4060.429932,4060.429932,3809590000
2023-01-27,4053.719971,4094.209961,4048.699951,4070.560059,4070.560059,3907760000
2023-01-30,4049.270020,4063.850098,4015.550049,4017.770020,4017.770020,3802000000
2023-01-31,4020.850098,4077.159912,4020.439941,4076.600098,4076.600098,4679320000
2023-02-01,4070.070068,4148.950195,4037.199951,4119.209961,4119.209961,4856930000
2023-02-02,4158.680176,4195.439941,4141.879883,4179.759766,4179.759766,5624360000
2023-02-03,4136.689941,4182.359863,4123.359863,4136.479980,4136.479980,4694510000
2023-02-06,4119.569824,4124.629883,4093.379883,4111.080078,4111.080078,4114240000
2023-02-07,4105.350098,4176.540039,4088.389893,4164.000000,4164.000000,4355860000
2023-02-08,4153.470215,4156.850098,4111.669922,4117.859863,4117.859863,4029820000
2023-02-09,4144.250000,4156.229980,4069.669922,4081.500000,4081.500000,4270200000
2023-02-10,4068.919922,4094.360107,4060.790039,4090.459961,4090.459961,3891520000
2023-02-13,4096.620117,4138.899902,4092.669922,4137.290039,4137.290039,3448620000
2023-02-14,4126.700195,4159.770020,4095.010010,4136.129883,4136.129883,3929200000
2023-02-15,4119.500000,4148.109863,4103.979980,4147.600098,4147.600098,4075980000
2023-02-16,4114.750000,4136.540039,4089.489990,4090.409912,4090.409912,4143660000
2023-02-17,4077.389893,4081.510010,4047.949951,4079.090088,4079.090088,4045480000
